Departamento,Municipio,Codigo_DANE,Tipo_ruralidad
Valle del Cauca,Ansermanuevo,76041,Intermedio
Valle del Cauca,Argelia,76054,Intermedio
Valle del Cauca,Caicedonia,76122,Intermedio
Valle del Cauca,El Cerrito,76248,Intermedio
Valle del Cauca,Ginebra,76306,Intermedio
Valle del Cauca,Guacarí,76318,Intermedio
Valle del Cauca,La Unión,76400,Intermedio
Valle del Cauca,Obando,76497,Intermedio
Valle del Cauca,Restrepo,76606,Intermedio
Valle del Cauca,Roldanillo,76622,Intermedio
Valle del Cauca,San Pedro,76670,Intermedio
Valle del Cauca,Sevilla,76736,Intermedio
Valle del Cauca,Toro,76823,Intermedio
Valle del Cauca,Trujillo,76828,Intermedio
Valle del Cauca,Ulloa,76845,Intermedio
Valle del Cauca,Zarzal,76895,Intermedio
Valle del Cauca,Palmar,68522,Intermedio
Valle del Cauca,Páramo,68533,Intermedio
Valle del Cauca,Socorro,68755,Intermedio
Valle del Cauca,Valle de San José,68855,Intermedio
Valle del Cauca,Villanueva,68872,Intermedio
Sucre,Buenavista,70110,Intermedio
Sucre,Chalán,70230,Intermedio
Sucre,Corozal,70215,Intermedio
Sucre,Coveñas,70221,Intermedio
Sucre,El Roble,70233,Intermedio
Sucre,Galeras,70235,Intermedio
Sucre,Los Palmitos,70418,Intermedio
Sucre,Morroa,70473,Intermedio
Sucre,Palmito,70523,Intermedio
Sucre,Sampués,70670,Intermedio
Sucre,San Juan de Betulia,70702,Intermedio
Sucre,San Luis de Sincé,70742,Intermedio
Sucre,San Marcos,70708,Intermedio
Sucre,San Pedro,70717,Intermedio
Sucre,Santiago de Tolú,70820,Intermedio
Tolima,Chaparral,73168,Intermedio
Tolima,Espinal,73268,Intermedio
Tolima,Flandes,73275,Intermedio
Tolima,Fresno,73283,Intermedio
Tolima,Guamo,73319,Intermedio
Tolima,Icononzo,73352,Intermedio
Amazonas,Leticia,91001,Rural
Antioquia,Abejorral,5002,Rural
Antioquia,Alejandría,5021,Rural
Antioquia,Amalfi,5031,Rural
Antioquia,Anorí,5040,Rural
Antioquia,Armenia,5059,Rural
Antioquia,Campamento,5134,Rural
Antioquia,Cañasgordas,5138,Rural
Antioquia,Caracolí,5142,Rural
Antioquia,Carolina,5150,Rural
Antioquia,Cocorná,5197,Rural
Antioquia,Concepción,5206,Rural
Antioquia,Dabeiba,5234,Rural
Antioquia,Ebéjico,5240,Rural
Antioquia,Entrerrios,5264,Rural
Antioquia,Frontino,5284,Rural
Antioquia,Giraldo,5306,Rural
Antioquia,Gómez Plata,5310,Rural
Antioquia,Maceo,5425,Rural
Antioquia,Nariño,5483,Rural
Antioquia,Nechí,5495,Rural
Antioquia,Puerto Nare,5585,Rural
Antioquia,Remedios,5604,Rural
Antioquia,Sabanalarga,5628,Rural
Antioquia,Salgar,5642,Rural
Antioquia,San Andrés de Cuerquía,5647,Rural
Antioquia,San Carlos,5649,Rural
Antioquia,San Francisco,5652,Rural
Antioquia,San José de La Montaña,5658,Rural
Antioquia,San Luis,5660,Rural
Antioquia,San Rafael,5667,Rural
Antioquia,San Roque,5670,Rural
Antioquia,Santa Rosa de Osos,5686,Rural
Antioquia,Santafé de Antioquia,5042,Rural
Antioquia,Sonsón,5756,Rural
Antioquia,Uramita,5842,Rural
Antioquia,Urrao,5847,Rural
Antioquia,Valparaíso,5856,Rural
Antioquia,Vegachí,5858,Rural
Antioquia,Yalí,5885,Rural
Antioquia,Yolombó,5890,Rural
Antioquia,Zaragoza,5895,Rural
Arauca,Arauquita,81065,Rural
Arauca,Fortul,81300,Rural
Atlántico,Piojó,8549,Rural
Bolívar,Altos del Rosario,13030,Rural
Bolívar,Barranco de Loba,13074,Rural
Bolívar,Cantagallo,13160,Rural
Bolívar,El Guamo,13248,Rural
Bolívar,El Peñón,13268,Rural
Bolívar,Hatillo de Loba,13300,Rural
Bolívar,Norosí,13490,Rural
Bolívar,Río Viejo,13600,Rural
Bolívar,San Jacinto,13654,Rural
Bolívar,San Martín de Loba,13667,Rural
Bolívar,Santa Rosa del Sur,13688,Rural
Bolívar,Simití,13744,Rural
Bolívar,Talaigua Nuevo,13780,Rural
Bolívar,Zambrano,13894,Rural
Boyacá,Aquitania,15047,Rural
Boyacá,Arcabuco,15051,Rural
Boyacá,Boavita,15097,Rural
Boyacá,Boyacá,15104,Rural
Boyacá,Briceño,15106,Rural
Boyacá,Buenavista,15109,Rural
Boyacá,Busbanzá,15114,Rural
Boyacá,Chinavita,15172,Rural
Boyacá,Ciénega,15189,Rural
Boyacá,Cómbita,15204,Rural
Boyacá,Corrales,15215,Rural
Boyacá,El Cocuy,15244,Rural
Boyacá,Floresta,15276,Rural
Boyacá,Gameza,15296,Rural
Boyacá,Guayatá,15325,Rural
Boyacá,La Capilla,15380,Rural
Boyacá,La Uvita,15403,Rural
Boyacá,La Victoria,15401,Rural
Boyacá,Maripí,15442,Rural
Boyacá,Miraflores,15455,Rural
Boyacá,Mongua,15464,Rural
Boyacá,Otanche,15507,Rural
Boyacá,Panqueba,15522,Rural
Boyacá,Paz de Río,15537,Rural
Boyacá,Ráquira,15600,Rural
Boyacá,San Eduardo,15660,Rural
Boyacá,San José de Pare,15664,Rural
Boyacá,Jambaló,19364,Rural
Boyacá,La Sierra,19392,Rural
Boyacá,La Vega,19397,Rural
Boyacá,Morales,19473,Rural
Boyacá,Patía,19532,Rural
Boyacá,Silvia,19743,Rural
Boyacá,Suárez,19780,Rural
Boyacá,Sucre,19785,Rural
Boyacá,Toribio,19821,Rural
Boyacá,Totoró,19824,Rural
Cesar,Astrea,20032,Rural
Cesar,Becerril,20045,Rural
Cesar,Chimichagua,20175,Rural
Cesar,Chiriguaná,20178,Rural
Cesar,Curumaní,20228,Rural
Cesar,El Copey,20238,Rural
Cesar,Gamarra,20295,Rural
Cesar,González,20310,Rural
Cesar,La Gloria,20383,Rural
Cesar,La Jagua de Ibirico,20400,Rural
Cesar,La Paz,20621,Rural
Cesar,Pailitas,20517,Rural
Cesar,Pelaya,20550,Rural
Cesar,Río de Oro,20614,Rural
Cesar,San Alberto,20710,Rural
Cesar,San Diego,20750,Rural
Cesar,San Martín,20770,Rural
Cesar,Tamalameque,20787,Rural
Chocó,Acandí,27006,Rural
Chocó,Atrato,27050,Rural
Chocó,Cértegui,27160,Rural
Chocó,Condoto,27205,Rural
Chocó,El Cantón del San Pablo,27135,Rural
Chocó,El Carmen de Atrato,27245,Rural
Chocó,Istmina,27361,Rural
Chocó,Lloró,27413,Rural
Chocó,Medio San Juan,27450,Rural
Chocó,Tadó,27787,Rural
Chocó,Unguía,27800,Rural
Córdoba,Buenavista,23079,Rural
Córdoba,Canalete,23090,Rural
Córdoba,Los Córdobas,23419,Rural
Córdoba,Pueblo Nuevo,23570,Rural
Córdoba,Puerto Escondido,23574,Rural
Córdoba,San Luis de Gaceno,15667,Rural
Córdoba,San Mateo,15673,Rural
Córdoba,San Miguel de Sema,15676,Rural
Córdoba,San Pablo de Borbur,15681,Rural
Córdoba,Siachoque,15740,Rural
Córdoba,Socha,15757,Rural
Córdoba,Somondoco,15761,Rural
Córdoba,Sora,15762,Rural
Córdoba,Soracá,15764,Rural
Córdoba,Susacón,15774,Rural
Córdoba,Sutamarchán,15776,Rural
Córdoba,Tenza,15798,Rural
Córdoba,Tibaná,15804,Rural
Córdoba,Tuta,15837,Rural
Córdoba,Umbita,15842,Rural
Córdoba,Viracachá,15879,Rural
Caldas,Aguadas,17013,Rural
Caldas,Norcasia,17495,Rural
Caldas,Pácora,17513,Rural
Caldas,Pensilvania,17541,Rural
Caldas,Salamina,17653,Rural
Caldas,Victoria,17867,Rural
Caquetá,Albania,18029,Rural
