departamento,anio,tasa_desercion
Cauca,2013,0.2076271186440678
Cesar,2013,0.29850746268656714
Chocó,2013,0.0
Córdoba,2013,0.09868421052631579
Cundinamarca,2013,0.07152145643693109
Huila,2013,0.13963963963963963
La Guajira,2013,0.21534320323014805
Magdalena,2013,0.1910891089108911
Meta,2013,0.16591928251121077
Nariño,2013,0.1643835616438356
Norte De Santander,2013,0.10618066561014262
Putumayo,2013,0.0
Quindío,2013,0.11071932299012693
Risaralda,2013,0.15748031496062992
Santander,2013,0.2559774964838256
Sucre,2013,0.04291417165668663
Tolima,2013,0.21476793248945147
Valle Del Cauca,2013,0.14093608103388056
Vichada,2013,0.4117647058823529
Departamento de oferta del programa,2013,2013.0
Amazonas,2013,0.02631578947368421
Antioquia,2013,0.09214096391210928
Arauca,2013,0.13358778625954199
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2013,0.008902077151335312
Atlántico,2013,0.07689246990947976
Bogotá D.C.,2013,0.17606726570675904
Bolívar,2013,0.11878685762426285
Boyacá,2013,0.06330689065173432
Caldas,2013,0.10066305003013863
Caquetá,2013,0.10072992700729927
Casanare,2013,0.06204756980351603
Cauca,2013,0.07680654446296016
Cesar,2013,0.053323593864134405
Chocó,2013,0.05333333333333334
Córdoba,2013,0.08109243697478992
Cundinamarca,2013,0.055846722226995445
Guainía,2013,0.0
Guaviare,2013,0.019448946515397084
Huila,2013,0.03969901401141671
La Guajira,2013,0.010835913312693499
Magdalena,2013,0.08362614195361912
Meta,2013,0.08356719675709386
Nariño,2013,0.06409681757059614
Norte De Santander,2013,0.12581725402647106
Putumayo,2013,0.08969696969696969
Quindío,2013,0.05654834761321909
Risaralda,2013,0.0865767501605652
Santander,2013,0.13328543201005927
Sucre,2013,0.16463414634146342
Tolima,2013,0.06179634726044533
Valle Del Cauca,2013,0.11275034701566528
Vaupés,2013,0.018867924528301886
Vichada,2013,0.014164305949008499
Amazonas,2014,0.2304147465437788
Antioquia,2014,0.07231473443295715
Arauca,2014,0.1411589895988113
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2014,0.3617021276595745
Atlántico,2014,0.09533081285444234
Bogotá D.C.,2014,0.09158791439601985
Bolívar,2014,0.08953634085213033
Boyacá,2014,0.06429167826328973
Caldas,2014,0.050255452937708785
Caquetá,2014,0.10243445692883896
Casanare,2014,0.13624186758515117
Cauca,2014,0.08148068206345781
Cesar,2014,0.11979393411696415
Chocó,2014,0.14318945463944172
Córdoba,2014,0.07955397301349325
Cundinamarca,2014,0.07234633638152564
Guainía,2014,0.14375
Guaviare,2014,0.25
Huila,2014,0.10321509805126944
La Guajira,2014,0.1204155714106897
Magdalena,2014,0.07103292418132671
Meta,2014,0.12387486624284005
Nariño,2014,0.09878447584377122
Norte De Santander,2014,0.07249926521014989
Putumayo,2014,0.06317204301075269
Quindío,2014,0.07364599540638661
Risaralda,2014,0.068892735024695
Santander,2014,0.08522387789466061
Sucre,2014,0.07966764418377321
Tolima,2014,0.08033916269210387
Valle Del Cauca,2014,0.08448131068318772
