departamento,anio,tasa_desercion,depto_key,prop_superior_mean,estrato_pred_mean,rural_share,n_municipios
Huila,2014,0.14522821576763487,HUILA,0.0305849857924782,1.391304347826087,0.4444444444444444,27.0
Magdalena,2014,0.1404494382022472,MAGDALENA,0.033375645385512194,1.0,0.6,30.0
Meta,2014,0.20090562440419446,META,0.03700554004522973,1.44,0.4,30.0
Nariño,2014,0.1383866481223922,NARINO,0.026479308399941046,1.0444444444444445,0.4528301886792453,53.0
Putumayo,2014,0.18648960739030024,PUTUMAYO,0.04371840735626026,1.0,0.4166666666666667,12.0
Quindío,2014,0.13333333333333333,QUINDIO,0.054162557111810034,1.9166666666666667,0.25,12.0
Risaralda,2014,0.1137730870712401,RISARALDA,0.04291154952843301,2.142857142857143,0.0,14.0
Santander,2014,0.16931105740604532,SANTANDER,0.04121791563152944,1.7076923076923076,0.2828282828282828,99.0
Sucre,2014,0.16272727272727272,SUCRE,0.04313395171061328,1.0,0.3076923076923077,26.0
Tolima,2014,0.20286618276568025,TOLIMA,0.059172724607157126,1.9,0.35714285714285715,14.0
Vaupés,2014,0.02564102564102564,VAUPES,0.03940380651968481,1.0,0.0,6.0
Vichada,2014,0.17296222664015903,VICHADA,0.05201590233380985,1.0,0.0,21.0
Amazonas,2015,0.2674897119341564,AMAZONAS,0.03170675400527576,1.5,0.09090909090909091,11.0
Antioquia,2015,0.08015214535107394,ANTIOQUIA,0.039919495072987914,1.896551724137931,0.29285714285714287,140.0
Arauca,2015,0.10402930402930403,ARAUCA,0.05628248418631043,1.0,0.2857142857142857,7.0
Atlántico,2015,0.10855356162788764,ATLANTICO,0.07746049772630743,1.0434782608695652,0.043478260869565216,23.0
Bolívar,2015,0.09606502309399556,BOLIVAR,0.03571047892081166,1.0222222222222221,0.30434782608695654,46.0
Boyacá,2015,0.06872749992561959,BOYACA,0.03830873304669117,1.8604651162790697,0.38144329896907214,97.0
Caldas,2015,0.04910029292788395,CALDAS,0.0400693349019389,2.0,0.2222222222222222,27.0
Caquetá,2015,0.09712416049595315,CAQUETA,0.02665721228382872,1.0,0.625,16.0
Casanare,2015,0.14330161054172766,CASANARE,0.039759536224387826,1.263157894736842,0.21052631578947367,19.0
Cauca,2015,0.0966702470461869,CAUCA,0.030946057286912684,1.103448275862069,0.4782608695652174,46.0
Cesar,2015,0.11955176232979348,CESAR,0.04701469648642547,1.0416666666666667,0.72,25.0
